Indicator,Health Indicator Group,geo,year
Pentavalent vial wastage rate,03Immunization,District,2012
TT vial wastage rate,03Immunization,District,2012
Total MR Given,03Immunization,District,2012
Total OPV Given,03Immunization,District,2012
Total PCV Given,03Immunization,District,2012
Total Pentavalent Given,03Immunization,District,2012
Total TT Given to 15 - 49 Y,03Immunization,District,2012
Total TT Given to Pregnant Women,03Immunization,District,2012
Total fIPV Given,03Immunization,District,2012
fIPV1 Crude Coverage %,03Immunization,District,2012
fIPV2 Crude Coverage %,03Immunization,District,2012
1st Visit ANC,AntenatalCare(ANC),District,2012
2nd Visit ANC,AntenatalCare(ANC),District,2012
3rd & more ANC,AntenatalCare(ANC),District,2012
,True,District,2013
% of maternal death reported individually with causes of death,01MaternalHealth,District,2013
Institutional C-section rate,01MaternalHealth,District,2013
Institutional Normal Delivery Rate (Only EmOC Facilities),01MaternalHealth,District,2013
Maternal Case fatality rate (EmOC),01MaternalHealth,District,2013
Percentage of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2013
Percentage of postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2013
Proportion of cases with postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2013
Proportion of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2013
Total Complicated Mother,01MaternalHealth,District,2013
Total No. of pregnant mothers with obstetric complication,01MaternalHealth,District,2013
Total birth in EmONC facilities,01MaternalHealth,District,2013
Total deliveries in EmONC facilities,01MaternalHealth,District,2013
Total still birth at EmOC facility,01MaternalHealth,District,2013
% of Nurse training on ETAT at SCANU,04Newborn,District,2013
% of female baby admitted in SCANU reported individually,04Newborn,District,2013
% of female baby admitted in SCANU reported monthly,04Newborn,District,2013
% of functional Radiant warmer,04Newborn,District,2013
% of male baby admitted in SCANU reported individually,04Newborn,District,2013
% of male baby admitted in SCANU reported monthly,04Newborn,District,2013
% of non functional Photo therapy unit,04Newborn,District,2013
% of non-functioning Table Resuscitator with Radiant warmer,04Newborn,District,2013
% of nurse allocated in SCANU among all nurses in the facility,04Newborn,District,2013
% of nurse trained on IMCI working at SCANU,04Newborn,District,2013
% of nurse training on KMC at SCANU,04Newborn,District,2013
% of referral cases admitted at SCANU,04Newborn,District,2013
Case fatality rate at SCANU,04Newborn,District,2013
Consultant Bed ratio at SCANU (Recommended 0.1),04Newborn,District,2013
Doctor Bed ratio at SCANU (Recommended 0.4),04Newborn,District,2013
Medical Officer Bed ratio at SCANU (Recommended 0.3),04Newborn,District,2013
Nurse Bed ratio at SCANU (Recommended 0.8),04Newborn,District,2013
Percentage of newborn who received postnatal care within two days of birth at facility,04Newborn,District,2013
Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth,04Newborn,District,2013
Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth,04Newborn,District,2013
Percentage of newborns initiated breastfeeding within one hour after birth,04Newborn,District,2013
Differences between Pentavalent doses and vial uses,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Penta vial Opening + Receive,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI AEFI Form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI AEFI Investigation form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI AEFI form E36 - E39 need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI AEFI line listing form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI BCG diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI BCG need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI CC supply book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Child Card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Child Report Book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Child register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI FW product distribution register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI IPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI MR diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI MR need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI MR vial total supplied,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Moni flag need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI OPV dropper need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI OPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI PCV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Pentavalent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Safety Box need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Supervision Form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Syringe (0.05 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Syringe (0.1 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Syringe (0.5 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Syringe (5 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Syringe(2/3ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI TT Card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI TT need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Tally Book(Women) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Tally Book(child) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Women Report Book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI Women register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI batch card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI daily vaccine distribution register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI stock register for logistic need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI stock register for vaccine/diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI supply book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI temperature chart need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazila EPI zip lock bag need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI AEFI Form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI AEFI Investigation form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI AEFI form E36 - E39 stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI AEFI line listing form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI BCG diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI BCG stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI CC supply book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Child Card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Child Report Book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Child register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI FW product distribution register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI IPV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI MR diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI MR stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Moni flag stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI OPV dropper stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI OPV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI PCV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Safety Box stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Supervision Form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Syringe (0.05 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Syringe (0.1 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Syringe (0.5 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Syringe (5 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Syringe(2/3ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI TT Card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI TT stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Tally Book(Women) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Tally Book(child) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Women Report Book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI Women register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI batch card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI daily vaccine distribution register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI pentavalent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI stock register for logistic stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI stock register for vaccine/diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI supply book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI temperature chart stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
Upazilla EPI zip lock bag stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_AEFI Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_AEFI Investigation form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_AEFI form E36 - E39 closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_AEFI line listing form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_BCG Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_BCG closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Child Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Child Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Child register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_IPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_MR Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_MR closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Moni Flag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_OPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_OPV dropper closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_PCV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Pentavalent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Safety Box closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Supervision Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Syringe (0.05 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Syringe (0.1 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Syringe (0.5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Syringe (3 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Syringe (5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_TT Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_TT closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Tally Book (Women) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Tally Book (child) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Women Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_Women register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_batch card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_cc EPI supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_daily vaccine distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_fw product distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_stock register for logistic closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_stock register for vaccine/diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_temperature chart closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
upazilla_epi_zip lock bag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2013
District EPI AEFI Form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2013
District EPI AEFI Investigation need with buffer,06Vaccine&LogisticsstockofDistrict,District,2013
District EPI AEFI line listing form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2013
District EPI BCG diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2013
District EPI BCG diluent stock requested,06Vaccine&LogisticsstockofDistrict,District,2013
